bar_index,lab,source_study,cell_type,PEmax,epegRNA,MLH1dn,NRCH,n,deepprime_file_match
1,Liu,hsu2026,HEK293T,1,1,0,0,15678,
2,Liu,hsu2026,HEK293T,1,1,1,0,15598,
3,Liu,hsu2026,HeLa,1,1,0,0,17160,
4,Liu,hsu2026,HeLa,1,1,1,0,17158,
5,Schwank,pridict_pridict2,HEK293T,0,0,0,0,824,
6,Schwank,pridict_pridict2,HEK293T,0,1,0,0,115861,
7,Schwank,pridict_pridict2,HEK293T,0,0,1,0,822,
8,Schwank,pridict_pridict2,HEK293T,0,1,1,0,820,
9,Schwank,pridict_pridict2,K562,0,0,0,0,789,
10,Schwank,pridict_pridict2,K562,0,1,0,0,23428,
11,Schwank,pridict_pridict2,K562,1,0,0,0,816,
12,Schwank,pridict_pridict2,K562,1,1,0,0,819,
13,Schwank,pridict_pridict2,K562,0,0,1,0,817,
14,Schwank,pridict_pridict2,K562,0,1,1,0,21201,
15,Schwank,pridict_pridict2,K562,1,0,1,0,816,
16,Schwank,pridict_pridict2,K562,1,1,1,0,823,
17,Schwank,pridict_pridict2,U2OS,0,0,0,0,781,
18,Schwank,pridict_pridict2,U2OS,0,1,0,0,774,
19,Schwank,pridict_pridict2,U2OS,1,0,0,0,785,
20,Schwank,pridict_pridict2,U2OS,1,1,0,0,778,
21,Schwank,pridict_pridict2,U2OS,0,0,1,0,780,
22,Schwank,pridict_pridict2,U2OS,0,1,1,0,774,
23,Schwank,pridict_pridict2,U2OS,1,0,1,0,784,
24,Schwank,pridict_pridict2,U2OS,1,1,1,0,775,
25,Kim,deepprime,HEK293T,0,0,0,0,3409,DP_variant_293T_PE2_Conv_220428
26,Kim,deepprime,HEK293T,0,0,0,1,3418,DP_variant_293T_NRCH_PE2_Opti_220428
27,Kim,deepprime,HEK293T,1,0,0,0,3277,DP_variant_293T_PE2max_Opti_220428
28,Kim,deepprime,HEK293T,1,1,0,0,3034,DP_variant_293T_PE2max_epegRNA_Opti_220428
29,Kim,deepprime,HEK293T,1,0,0,1,3347,DP_variant_293T_NRCH-PE2max_Opti_220815
30,Kim,deepprime,HEK293T,1,0,1,0,2531,DP_variant_293T_PE4max_Opti_220728
31,Kim,deepprime,HEK293T,1,1,1,0,3331,DP_variant_293T_PE4max_epegRNA_Opti_220428
32,Kim,deepprime,A549,1,0,0,0,3436,DP_variant_A549_PE2max_Opti_221114
33,Kim,deepprime,A549,1,1,0,0,3229,DP_variant_A549_PE2max_epegRNA_Opti_220428
34,Kim,deepprime,A549,1,0,1,0,3392,DP_variant_A549_PE4max_Opti_220728
35,Kim,deepprime,A549,1,1,1,0,3191,DP_variant_A549_PE4max_epegRNA_Opti_220428
36,Kim,deepprime,DLD1,1,0,0,0,3423,DP_variant_DLD1_PE2max_Opti_220428+221114 (?)
37,Kim,deepprime,DLD1,1,0,1,0,3057,DP_variant_DLD1_PE4max_Opti_220728
38,Kim,deepprime,DLD1,1,0,1,1,3063,DP_variant_DLD1_NRCHPE4max_Opti_220728
39,Kim,deepprime,HeLa,1,0,0,0,3386,DP_variant_HeLa_PE2max_Opti_220815
40,Kim,deepprime,MDA-MB-231,0,0,0,0,3145,DP_variant_MDA_PE2_Opti_220428
41,Kim,deepprime,NIH3T3,1,0,1,1,3298,DP_variant_NIH_NRCHPE4max_Opti_220815
42,Kim,deepprime,HCT116,0,0,0,0,3334,DP_variant_HCT116_PE2_Opti_220428
